Time, Location, On Reward, Lap Number, TTL Number
1752135840163, 235.743791600159, false, 1, 410
1752135840183, 235.743791600159, false, 1, 411
1752135840202, 235.743791600159, false, 1, 412
1752135840223, 235.743791600159, false, 1, 413
1752135840243, 235.743791600159, false, 1, 414
1752135840263, 235.743791600159, false, 1, 415
1752135840282, 235.743791600159, false, 1, 416
1752135840303, 235.743791600159, false, 1, 417
1752135840322, 235.743791600159, false, 1, 418
1752135840342, 235.743791600159, false, 1, 419
1752135840363, 235.743791600159, false, 1, 420
1752135840382, 235.743791600159, false, 1, 421
1752135840402, 235.743791600159, false, 1, 422
1752135840422, 235.743791600159, false, 1, 423
1752135840443, 235.743791600159, false, 1, 424
1752135840463, 235.743791600159, false, 1, 425
1752135840482, 235.743791600159, false, 1, 426
1752135840503, 235.743791600159, false, 1, 427
1752135840522, 235.743791600159, false, 1, 428
1752135840543, 235.743791600159, false, 1, 429
1752135840563, 235.743791600159, false, 1, 430
1752135840583, 235.743791600159, false, 1, 431
1752135840602, 235.743791600159, false, 1, 432
1752135840623, 235.743791600159, false, 1, 433
1752135840643, 235.743791600159, false, 1, 434
1752135840662, 235.743791600159, false, 1, 435
1752135840682, 235.743791600159, false, 1, 436
1752135840703, 235.743791600159, false, 1, 437
1752135840722, 235.743791600159, false, 1, 438
1752135840742, 235.743791600159, false, 1, 439
1752135840762, 235.743791600159, false, 1, 440
1752135840782, 235.743791600159, false, 1, 441
1752135840802, 235.743791600159, false, 1, 442
1752135840822, 235.743791600159, false, 1, 443
1752135840842, 235.743791600159, false, 1, 444
1752135840862, 235.743791600159, false, 1, 445
1752135840883, 235.743791600159, false, 1, 446
1752135840903, 235.743791600159, false, 1, 447
1752135840922, 235.743791600159, false, 1, 448
1752135840943, 235.743791600159, false, 1, 449
1752135840962, 235.743791600159, false, 1, 450
1752135840983, 235.743791600159, false, 1, 451
1752135841003, 235.743791600159, false, 1, 452
1752135841023, 235.743791600159, false, 1, 453
1752135841042, 235.743791600159, false, 1, 454
1752135841063, 235.743791600159, false, 1, 455
1752135841083, 235.743791600159, false, 1, 456
1752135841103, 235.743791600159, false, 1, 457
1752135841122, 235.743791600159, false, 1, 458
1752135841142, 235.743791600159, false, 1, 459
1752135841163, 235.743791600159, false, 1, 460
1752135841182, 235.743791600159, false, 1, 461
1752135841203, 235.743791600159, false, 1, 462
1752135841223, 235.743791600159, false, 1, 463
1752135841243, 235.743791600159, false, 1, 464
1752135841262, 235.743791600159, false, 1, 465
1752135841282, 235.743791600159, false, 1, 466
1752135841302, 235.743791600159, false, 1, 467
1752135841323, 235.743791600159, false, 1, 468
1752135841342, 235.743791600159, false, 1, 469
1752135841363, 235.743791600159, false, 1, 470
1752135841383, 235.743791600159, false, 1, 471
1752135841403, 235.743791600159, false, 1, 472
1752135841423, 235.743791600159, false, 1, 473
1752135841443, 235.743791600159, false, 1, 474
1752135841462, 235.743791600159, false, 1, 475
1752135841483, 235.743791600159, false, 1, 476
1752135841503, 235.743791600159, false, 1, 477
1752135841523, 235.743791600159, false, 1, 478
1752135841543, 235.743791600159, false, 1, 479
1752135841563, 235.743791600159, false, 1, 480
1752135841583, 235.743791600159, false, 1, 481
1752135841603, 235.743791600159, false, 1, 482
1752135841623, 235.743791600159, false, 1, 483
1752135841643, 235.743791600159, false, 1, 484
1752135841663, 235.743791600159, false, 1, 485
1752135841683, 235.743791600159, false, 1, 486
1752135841703, 235.743791600159, false, 1, 487
1752135841723, 235.743791600159, false, 1, 488
1752135841742, 235.743791600159, false, 1, 489
1752135841763, 235.743791600159, false, 1, 490
1752135841783, 235.743791600159, false, 1, 491
1752135841803, 235.743791600159, false, 1, 492
1752135841823, 235.743791600159, false, 1, 493
1752135841843, 235.743791600159, false, 1, 494
1752135841863, 235.743791600159, false, 1, 495
1752135841883, 235.743791600159, false, 1, 496
1752135841902, 235.743791600159, false, 1, 497
1752135841923, 235.743791600159, false, 1, 498
1752135841942, 235.743791600159, false, 1, 499
1752135841962, 235.743791600159, false, 1, 500
1752135841983, 235.743791600159, false, 1, 501
1752135842003, 235.743791600159, false, 1, 502
1752135842023, 235.743791600159, false, 1, 503
1752135842043, 235.743791600159, false, 1, 504
1752135842062, 235.743791600159, false, 1, 505
1752135842083, 235.743791600159, false, 1, 506
1752135842103, 235.743791600159, false, 1, 507
1752135842123, 235.743791600159, false, 1, 508
1752135842143, 235.743791600159, false, 1, 509
1752135842163, 235.743791600159, false, 1, 510
1752135842183, 235.743791600159, false, 1, 511
1752135842203, 235.743791600159, false, 1, 512
1752135842223, 235.743791600159, false, 1, 513
1752135842243, 235.743791600159, false, 1, 514
1752135842263, 235.743791600159, false, 1, 515
1752135842283, 235.743791600159, false, 1, 516
1752135842303, 235.743791600159, false, 1, 517
1752135842322, 235.743791600159, false, 1, 518
1752135842342, 235.743791600159, false, 1, 519
1752135842362, 235.743791600159, false, 1, 520
1752135842382, 235.743791600159, false, 1, 521
1752135842402, 235.743791600159, false, 1, 522
1752135842423, 235.743791600159, false, 1, 523
1752135842443, 235.743791600159, false, 1, 524
1752135842462, 235.743791600159, false, 1, 525
1752135842482, 235.743791600159, false, 1, 526
1752135842502, 235.743791600159, false, 1, 527
1752135842522, 235.743791600159, false, 1, 528
1752135842543, 235.743791600159, false, 1, 529
1752135842563, 235.743791600159, false, 1, 530
1752135842583, 235.743791600159, false, 1, 531
1752135842602, 235.743791600159, false, 1, 532
1752135842622, 235.743791600159, false, 1, 533
1752135842643, 235.743791600159, false, 1, 534
1752135842662, 235.743791600159, false, 1, 535
1752135842682, 235.743791600159, false, 1, 536
1752135842703, 235.743791600159, false, 1, 537
1752135842723, 235.743791600159, false, 1, 538
1752135842742, 235.743791600159, false, 1, 539
1752135842762, 235.743791600159, false, 1, 540
1752135842783, 235.743791600159, false, 1, 541
1752135842802, 235.743791600159, false, 1, 542
1752135842823, 235.743791600159, false, 1, 543
1752135842843, 235.743791600159, false, 1, 544
1752135842863, 235.743791600159, false, 1, 545
1752135842882, 235.743791600159, false, 1, 546
1752135842902, 235.743791600159, false, 1, 547
1752135842922, 235.743791600159, false, 1, 548
1752135842943, 235.743791600159, false, 1, 549
1752135842962, 235.743791600159, false, 1, 550
1752135842983, 235.743791600159, false, 1, 551
1752135843003, 235.743791600159, false, 1, 552
1752135843023, 235.743791600159, false, 1, 553
1752135843043, 235.743791600159, false, 1, 554
1752135843062, 235.743791600159, false, 1, 555
1752135843083, 235.743791600159, false, 1, 556
1752135843103, 235.743791600159, false, 1, 557
1752135843123, 235.743791600159, false, 1, 558
1752135843143, 235.743791600159, false, 1, 559
1752135843163, 235.743791600159, false, 1, 560
1752135843183, 235.743791600159, false, 1, 561
1752135843202, 235.743791600159, false, 1, 562
